Number,Theme,Name,Minifigs,Pieces,USPrice
3829,Avatar The Last Airbender,Fire Nation Ship,5,722,50
5844,Belville,Dolphin Windsurfer,1,16,5
5845,Belville,Dolphin Show,1,50,11
5861,Belville,Fairy Island,2,101,28
5940,Belville,Doll House,3,203,60
4011,Boats,Cabin Cruiser,2,90,19.75
4022,Boats,C26 Sea Cutter,3,193,30
4626,Bricks and More,Farm Brick Box,1,232,14.99
5898,Bricks and More,Cars Building Set,1,139,9.99
6191,Bricks and More,Fire Fighter Building Set,1,117,9.99
6193,Bricks and More,Castle Building Set,1,137,9.99
10066,Bulk Bricks,Castle Accessories,1,37,5
1712,Castle,Crossbow Cart,1,23,2
1804,Castle,Crossbow Boat,1,21,2
2540,Castle,Catapault Cart,1,28,2
3053,Castle,Emperor's Stronghold,4,331,40
4801,Castle,Defence Archer,1,15,2
4807,Castle,Fire Attack,1,24,1.95
4811,Castle,Defense Archer,1,15,2
4817,Castle,Dungeon,2,38,5
4818,Castle,Dragon Rider,1,11,5
4819,Castle,Bulls' Attack Wagon,2,49,5
6032,Castle,Catapault Crusher,1,56,6
6042,Castle,Dungeon Hunters,3,110,12.75
6043,Castle,Dragon Defender,2,157,12
6056,Castle,Dragon Wagon,2,105,20
6076,Castle,Dark Dragon's Den,4,214,43
6079,Castle,Dark Forest Fortress,7,464,50
6082,Castle,Fire Breathing Fortress,6,397,64
6096,Castle,Bull's Attack,4,313,50
7036,Castle,Dwarves' Mine,7,575,59.99
7040,Castle,Dwarves' Mine Defender,3,86,9.99
7079,Castle,Drawbridge Defense,7,335,39.99
7090,Castle,Crossbow Attack,3,54,5.99
7187,Castle,Escape from the Dragon's Prison,4,185,19.99
7953,Castle,Court Jester,1,22,3.99
7979,Castle,Castle Advent Calendar,9,176,30
8780,Castle,Citadel of Orlan,4,442,50
70403,Castle,Dragon Mountain,5,376,49.99
2824,City,City Advent Calendar,6,271,34.99
4203,City,Excavator Transporter,2,305,39.99
4207,City,City Garage,5,933,119.99
4210,City,Coast Guard Platform,4,469,49.99
4427,City,Fire ATV,1,50,5.99
4428,City,City Advent Calendar,7,248,39.99
4433,City,Dirt Bike Transporter,2,201,19.99
4434,City,Dump Truck,2,222,19.99
4435,City,Car and Caravan,2,218,19.99
4936,City,Doc & Patient,2,18,2.99
5621,City,Coast Guard Kayak,1,21,3.49
7206,City,Fire Helicopter,3,342,39.99
7207,City,Fire Boat,4,306,49.99
7238,City,Fire Helicopter,1,75,9.99
7241,City,Fire Car,1,46,3.99
7243,City,Construction Site,3,298,39.99
7248,City,Digger,1,127,19.99
7324,City,City Advent Calendar,9,203,15
7344,City,Dump Truck,1,187,30
7553,City,City Advent Calendar,6,232,34.99
7566,City,Farmer,1,16,3.99
7631,City,Dump Truck,1,189,19.99
7632,City,Crawler Crane,2,481,59.99
7633,City,Construction Site,5,898,99.99
7636,City,Combine Harvester,1,360,44.99
7637,City,Farm,3,609,89.99
7639,City,Camper,2,165,16.99
7641,City,City Corner,5,483,59.99
7685,City,Dozer,1,352,39.99
7687,City,City Advent Calendar,9,257,29.99
7724,City,City Advent Calendar,10,196,29.99
7726,City,Coast Guard Truck with Speed Boat,2,361,39.99
7734,City,Cargo Plane,3,463,49.99
7736,City,Coast Guard Quad Bike,1,33,4.99
7737,City,Coast Guard 4WD & Jet Scooter,1,130,9.99
7738,City,Coast Guard Helicopter & Life Raft,4,445,39.99
7739,City,Coast Guard Patrol Boat & Tower,4,444,59.99
7898,City,Cargo Train Deluxe,5,856,149.99
7902,City,Doctor's Car,1,66,5.99
7904,City,City Advent Calendar,9,257,20
7907,City,City Advent Calendar,8,232,24.99
7939,City,Cargo Train,4,839,179.99
7944,City,Fire Hovercraft,3,274,29.99
7990,City,Cement Mixer,1,213,14.99
7992,City,Container Stacker,1,218,19.99
8401,City,City Minifigure Collection,4,60,9.99
8403,City,City House,3,383,39.99
30010,City,Fire Chief,1,31,2.99
30225,City,Coast Guard Seaplane,1,37,3.99
30347,City,Fire Car,1,53,3.99
60000,City,Fire Motorcycle,1,40,6.99
60001,City,Fire Chief Car,2,80,11.99
60003,City,Fire Emergency,3,301,39.99
60005,City,Fire Boat,4,222,29.99
60012,City,Coast Guard 4x4 & Diving Boat,2,128,19.99
60013,City,Coast Guard Helicopter,4,230,39.99
60014,City,Coast Guard Patrol,6,449,79.99
60015,City,Coast Guard Plane,3,279,44.99
60018,City,Cement Mixer,2,221,19.99
60020,City,Cargo Truck,3,321,39.99
60021,City,Cargo Heliplane,3,393,44.99
60022,City,Cargo Terminal,5,658,99.99
60024,City,City Advent Calendar,8,244,29.99
60041,City,Crook Pursuit,2,38,6.99
60052,City,Cargo Train,4,888,199.99
60057,City,Camper Van,2,195,19.99
60063,City,City Advent Calendar,7,218,29.99
60068,City,Crooks' Hideout,5,473,69.99
60072,City,Demolition Starter Set,4,85,9.99
60074,City,Bulldozer,2,384,39.99
60075,City,Excavator and Truck,2,311,49.99
60076,City,Demolition Site,5,776,89.99
60082,City,Dune Buggy Trailer,2,222,19.99
60090,City,Deep Sea Scuba Scooter,1,42,6.99
60091,City,Deep Sea Starter Set,3,90,9.99
60092,City,Deep Sea Submarine,3,274,39.99
60093,City,Deep Sea Helicopter,3,388,49.99
60095,City,Deep Sea Exploration Vessel,7,717,119.99
60096,City,Deep Sea Operation Base,5,907,99.99
60097,City,City Square,14,1683,189.99
60099,City,City Advent Calendar,6,278,29.99
60105,City,Fire ATV,1,64,6.99
60107,City,Fire Ladder Truck,2,214,24.99
60109,City,Fire Boat,5,412,79.99
60112,City,Fire Engine,3,376,49.99
60119,City,Ferry,2,301,29.99
60131,City,Crooks Island,3,244,29.99
60133,City,City Advent Calendar,7,290,29.99
60140,City,Bulldozer Break-In,5,561,69.99
60151,City,Dragster Transporter,2,333,29.99
60154,City,Bus Station,6,337,49.99
60155,City,City Advent Calendar,6,248,29.99
60163,City,Coast Guard Starter Set,3,76,9.99
60167,City,Coast Guard Headquarters,7,792,119.99
60169,City,Cargo Terminal,4,740,79.99
60172,City,Dirt Road Pursuit,3,297,39.99
60204,City,City Hospital,12,861,99.99
4288,Classic,Classic Bucket,2,400,10
8683,Collectable Minifigures,Caveman,1,6,1.99
8683,Collectable Minifigures,Circus Clown,1,6,1.99
8683,Collectable Minifigures,Demolition Dummy,1,6,1.99
8683,Collectable Minifigures,Cheerleader,1,7,1.99
8683,Collectable Minifigures,Cowboy,1,8,1.99
8683,Collectable Minifigures,Deep Sea Diver,1,9,1.99
8684,Collectable Minifigures,Disco Dude,1,6,1.99
8684,Collectable Minifigures,Explorer,1,8,1.99
8803,Collectable Minifigures,Elf,1,8,2.99
8804,Collectable Minifigures,Crazy Scientist,1,6,2.99
8805,Collectable Minifigures,Detective,1,6,2.99
8805,Collectable Minifigures,Egyptian Queen,1,6,2.99
8805,Collectable Minifigures,Cave Woman,1,7,2.99
8805,Collectable Minifigures,Evil Dwarf,1,10,2.99
8827,Collectable Minifigures,Clockwork Robot,1,5,2.99
8827,Collectable Minifigures,Classic Alien,1,6,2.99
8827,Collectable Minifigures,Butcher,1,7,2.99
8831,Collectable Minifigures,Bunny Suit Guy,1,6,2.99
8831,Collectable Minifigures,Computer Programmer,1,7,2.99
8831,Collectable Minifigures,Daredevil,1,8,2.99
8831,Collectable Minifigures,Evil Knight,1,8,2.99
8833,Collectable Minifigures,Cowgirl,1,6,2.99
8833,Collectable Minifigures,Businessman,1,7,2.99
8833,Collectable Minifigures,DJ,1,7,2.99
8833,Collectable Minifigures,Conquistador,1,8,2.99
8833,Collectable Minifigures,Diver,1,8,2.99
8833,Collectable Minifigures,Evil Robot,1,8,2.99
8833,Collectable Minifigures,Fairy,1,8,2.99
8833,Collectable Minifigures,Downhill Skier,1,9,2.99
71000,Collectable Minifigures,Chicken Suit Guy,1,4,2.99
71000,Collectable Minifigures,Cyclops,1,6,2.99
71001,Collectable Minifigures,Bumblebee Girl,1,7,2.99
71001,Collectable Minifigures,Decorator,1,7,2.99
71002,Collectable Minifigures,Constable,1,6,2.99
71002,Collectable Minifigures,Evil Mech,1,8,2.99
71002,Collectable Minifigures,Diner Waitress,1,10,2.99
71004,Collectable Minifigures,Calamity Drone,1,7,2.99
71005,Collectable Minifigures,Chief Wiggum,1,6,3.99
71007,Collectable Minifigures,Fairytale Princess,1,6,3.99
71007,Collectable Minifigures,Dino Tracker,1,7,3.99
71008,Collectable Minifigures,Fencer,1,6,3.99
71008,Collectable Minifigures,Carpenter,1,7,3.99
71008,Collectable Minifigures,Egyptian Warrior,1,7,3.99
71008,Collectable Minifigures,Disco Diva,1,8,3.99
71008,Collectable Minifigures,Classic King,1,9,3.99
71008,Collectable Minifigures,Evil Wizard,1,10,3.99
71009,Collectable Minifigures,Dr Hibbert,1,4,3.99
71009,Collectable Minifigures,Comic Book Guy,1,5,3.99
71009,Collectable Minifigures,Edna Krabappel,1,6,3.99
71011,Collectable Minifigures,Faun,1,5,3.99
71011,Collectable Minifigures,Clumsy Guy,1,6,3.99
71011,Collectable Minifigures,Farmer,1,6,3.99
71012,Collectable Minifigures,Cheshire Cat,1,4,3.99
71012,Collectable Minifigures,Captain Hook,1,5,3.99
71012,Collectable Minifigures,Daisy Duck,1,5,3.99
71012,Collectable Minifigures,Donald Duck,1,5,3.99
71012,Collectable Minifigures,Buzz Lightyear,1,7,3.99
71013,Collectable Minifigures,Desert Warrior,1,5,3.99
71013,Collectable Minifigures,Dog Show Winner,1,6,3.99
71013,Collectable Minifigures,Cyborg,1,7,3.99
71013,Collectable Minifigures,Cute Little Devil,1,9,3.99
71017,Collectable Minifigures,Eraser,1,5,3.99
71017,Collectable Minifigures,Clan of the Cave Batman,1,6,3.99
71017,Collectable Minifigures,Commissioner Gordon,1,6,3.99
71017,Collectable Minifigures,Dick Grayson,1,6,3.99
71017,Collectable Minifigures,Calculator,1,7,3.99
71017,Collectable Minifigures,Fairy Batman,1,7,3.99
71017,Collectable Minifigures,Catman,1,8,3.99
71018,Collectable Minifigures,Corn Cob Guy,1,4,3.99
71018,Collectable Minifigures,Circus Strong Man,1,5,3.99
71018,Collectable Minifigures,Connoisseur,1,6,3.99
71018,Collectable Minifigures,Dance Instructor,1,6,3.99
71018,Collectable Minifigures,Elf Girl,1,6,3.99
71018,Collectable Minifigures,Butterfly Girl,1,9,3.99
71019,Collectable Minifigures,Cole,1,5,3.99
71020,Collectable Minifigures,Doctor Phosphorus,1,5,3.99
71020,Collectable Minifigures,Clock King,1,6,3.99
71021,Collectable Minifigures,Cactus Girl,1,4,3.99
71021,Collectable Minifigures,Cowboy Costume Guy,1,5,3.99
71021,Collectable Minifigures,Cat Costume Girl,1,6,3.99
71021,Collectable Minifigures,Classic Police Officer,1,6,3.99
71021,Collectable Minifigures,Dragon Suit Guy,1,6,3.99
71021,Collectable Minifigures,Elephant Girl,1,6,3.99
4117,Creator,Fantastic Flyers and Cool Cars,2,257,15
31012,Creator,Family House,2,756,69.99
31038,Creator,Changing Seasons,2,536,49.99
31050,Creator,Corner Deli,2,467,39.99
31076,Creator,Daredevil Stunt Plane,1,200,19.99
9137,Dacta,Farm Animals Set,2,32,30.25
9170,Dacta,Community People Set,18,18,28.6
9293,Dacta,Community Workers,30,182,31.5
9365,Dacta,Community Vehicles,13,739,69
9376,Dacta,Castle Set,14,321,63.5
9654,Dacta,Early Simple Machines II Set,2,99,92.75
9660,Dacta,Early Structures,2,107,69
6858,DC Comics Super Heroes,Catwoman Catcycle City Chase,2,89,12.99
76028,DC Comics Super Heroes,Darkseid Invasion,5,545,69.99
76044,DC Comics Super Heroes,Clash of the Heroes,2,92,12.99
41234,DC Super Hero Girls,Bumblebee Helicopter,1,142,14.99
41239,DC Super Hero Girls,Eclipso Dark Palace,3,1078,99.99
71204,Dimensions,Doctor Who Level Pack,1,83,29.99
71210,Dimensions,Cyborg,1,50,11.99
71212,Dimensions,Emmet,1,55,11.99
71223,Dimensions,Cragger,1,45,11.99
71229,Dimensions,DC Comics Team Pack,2,92,24.99
71230,Dimensions,Doc Brown,1,69,11.99
71232,Dimensions,Eris Fun Pack,1,59,11.99
71238,Dimensions,Cyberman,1,40,11.99
71253,Dimensions,Fantastic Beasts and Where to Find Them: Play the Complete Movie,1,261,49.99
71258,Dimensions,E.T.,1,42,11.99
71266,Dimensions,Chase McCain,1,46,14.99
71343,Dimensions,Buttercup,1,56,14.99
71344,Dimensions,Excalibur Batman,1,57,14.99
5887,Dino,Dino Defense HQ,4,793,99.99
7475,Dino Attack,Fire Hammer vs. Mutant Lizards,1,254,20
41053,Disney,Cinderella's Dream Carriage,1,274,29.99
41055,Disney,Cinderella's Romantic Castle,2,646,69.99
41062,Disney,Elsa's Sparkling Ice Castle,3,292,39.99
41146,Disney,Cinderella's Enchanted Evening,2,350,39.99
41148,Disney,Elsa's Magical Ice Palace,7,701,79.99
41154,Disney,Cinderella's Dream Castle,2,585,69.99
41155,Disney,Elsa's Market Adventure,2,125,19.99
71040,Disney,Disney Castle,7,4080,349.99
2266,Duplo,Extra Large Value Bucket,2,91,20
2400,Duplo,Cute Building Vehicles,1,31,15
2602,Duplo,Dinosaurs Family Home,2,27,18
2603,Duplo,Dinosaur Tub,2,70,20
2604,Duplo,Dino World,4,58,70
2605,Duplo,Dinosaur Park,4,42,40
2606,Duplo,Dump Truck,1,6,8.75
2690,Duplo,Fire Chief,1,6,8
2691,Duplo,Fire Engine,1,12,18.75
2696,Duplo,Farm Tractor,1,10,13
2697,Duplo,Farm Animals,1,16,16
2730,Duplo,Electric Play Train Set,2,54,85
2745,Duplo,Deluxe Electric Train Set,3,83,100
2762,Duplo,Family Fun Playground,3,46,27
2803,Duplo,Dinosaur Babies,2,17,10
2806,Duplo,Dino Mini Set,1,4,3
2811,Duplo,Fire and Police Station,4,45,50
2821,Duplo,Dinosaurs Fun Forest,4,33,30
2865,Duplo,Children's Zoo,2,25,25
2910,Duplo,Dumper Truck,1,17,17.5
2920,Duplo,Digger,1,20,25
2933,Duplo,Deluxe Train Set with Motor,3,75,100
2997,Duplo,Duplo Bucket,1,40,8
3087,Duplo,Circus Princess,1,7,4
3282,Duplo,Clock Tower Bob,1,49,20
3283,Duplo,Dizzy's Birdwatch,1,44,30
3772,Duplo,Deluxe Train Set,3,110,89.99
4085,Duplo,Duplo Bucket,1,75,10
4661,Duplo,Construction Worker,1,4,5
4693,Duplo,Ferrari F1 Race Car,1,5,10
4694,Duplo,Ferrari F1 Racing Team,2,37,40
4776,Duplo,Dragon Tower,2,63,30
4779,Duplo,Defence Tower,2,64,24.99
4784,Duplo,Castle Black Dragon,1,8,15
4864,Duplo,Castle,3,115,79.99
4966,Duplo,Doll's House,4,95,69.99
4967,Duplo,Fire Helicopter,2,14,15.99
4975,Duplo,Farm,2,42,49.99
4976,Duplo,Cement Mixer,1,11,16.99
4986,Duplo,Digger,1,19,22.99
4988,Duplo,Construction Site,3,84,59.99
5380,Duplo,Duplo Large Brick Box,1,71,29.99
5417,Duplo,Duplo Deluxe Brick Box,1,95,49.99
5481,Duplo,Duplo Zoo,2,128,25
5488,Duplo,Duplo Farm Building Set,2,102,39.99
5506,Duplo,Duplo Large Brick Box,1,71,29.99
5507,Duplo,Duplo Deluxe Brick Box,2,102,49.99
5593,Duplo,Circus,3,61,49.99
5594,Duplo,Cargo Plane,2,28,49.99
5597,Duplo,Dino Trap,1,28,24.99
5598,Duplo,Dino Valley,3,52,49.99
5603,Duplo,Fire Chief,1,7,8.99
5609,Duplo,Deluxe Train Set,3,116,119.99
5634,Duplo,Feeding Zoo,3,53,49.99
5636,Duplo,Bus,3,14,24.99
5639,Duplo,Family House,4,71,69.99
5641,Duplo,Busy Garage,2,51,49.99
5644,Duplo,Chicken Coop,1,11,8.99
5645,Duplo,Farm Bike,1,9,9.99
5646,Duplo,Farm Nursery,1,9,11.99
5651,Duplo,Dump Truck,1,10,19.99
5655,Duplo,Caravan,3,21,29.99
5695,Duplo,Doctor's Clinic,3,56,59.99
5696,Duplo,Car Wash,1,14,24.99
5794,Duplo,Emergency Helicopter,2,18,24.99
6153,Duplo,Cinderella's Carriage,1,20,24.99
6154,Duplo,Cinderella's Castle,2,77,39.99
6169,Duplo,Fire Chief,1,6,9.99
7846,Duplo,Dragon Tournament,3,44,30
10503,Duplo,Circus Show,1,25,14.99
10508,Duplo,Deluxe Train Set,3,134,109.99
10524,Duplo,Farm Tractor,1,29,19.99
10550,Duplo,Circus Transport,1,9,19.99
10556,Duplo,Creative Chest,2,106,44.99
10580,Duplo,Deluxe Box of Fun,2,95,49.99
10581,Duplo,Ducks,1,13,9.99
10587,Duplo,Café,3,52,19.99
10591,Duplo,Fire Boat,1,19,14.99
10596,Duplo,Disney Princess Collection,3,63,39.99
10601,Duplo,Delivery Vehicle,1,19,19.99
10602,Duplo,Camping,3,38,29.99
10605,Duplo,Doc McStuffins Rosie the Ambulance,1,16,19.99
10606,Duplo,Doc McStuffins Backyard Clinic,1,39,29.99
10618,Duplo,Creative Building Box,2,70,24.99
10820,Duplo,Creative Construction Basket,2,110,59.99
10828,Duplo,Doc McStuffins' Pet Vet Care,1,30,24.99
10835,Duplo,Family House,3,69,39.99
10855,Duplo,Cinderella's Magical Castle,2,56,34.99
10867,Duplo,Farmers' Market,3,26,19.99
10868,Duplo,Farm Pony Stable,2,59,29.99
10869,Duplo,Farm Adventures,3,104,59.99
9126,Education,Dolls Medium Set,4,24,43.25
9132,Education,Community Transport Set,9,50,52
9215,Education,Dolls Family Set,7,87,105
9224,Education,Community People Set,20,20,36
9234,Education,Dolls Family Set,6,76,89
9247,Education,Community Workers,31,202,49.99
9247,Education,Community Workers,31,235,49.99
9348,Education,Community Minifigure Set,22,256,49.99
9349,Education,Fairytale and Historic Minifigure Set,22,227,49.99
9540,Education,Early Maths 4+ Numbers Set,4,112,81
9541,Education,Early Maths 4+ Measurement Set,4,101,76
41076,Elves,Farran and the Crystal Hollow,1,175,14.99
41171,Elves,Emily Jones & the Baby Wind Dragon,1,80,9.99
41173,Elves,Elvendale School of Dragons,1,230,19.99
41175,Elves,Fire Dragon's Lava Cave,2,441,39.99
41190,Elves,Emily Jones & The Eagle Getaway,2,149,14.99
7721,Exo-Force,Combat Crawler X2,3,581,49.99
8100,Exo-Force,Cyclone Defender,1,92,7.99
8101,Exo-Force,Claw Crusher,1,99,7.99
8107,Exo-Force,Fight for the Golden Tower,2,571,49.99
8114,Exo-Force,Chameleon Hunter,1,188,14.99
8115,Exo-Force,Dark Panther,3,244,14.99
3589,Explore,Chopper,1,22,20
3590,Explore,Drill,1,24,20
3610,Explore,Campsite,1,8,6
3618,Explore,Family Farm,3,53,50
3657,Explore,Fire Fighters,4,35,40
3697,Explore,Fearless Fire Fighter,1,5,7
7330,Explore,Dora's Treasure Island,1,21,10
7331,Explore,Diego's Rescue Truck,1,10,10
7332,Explore,Dora and Boots at Play Park,2,29,20
7333,Explore,Dora and Diego's Animal Adventure,2,39,30
10200,Factory,Custom Car Garage,4,893,69.99
3061,Friends,City Park Cafe,2,222,34.99
3186,Friends,Emma's Horse Trailer,1,218,24.99
3187,Friends,Butterfly Beauty Shop,2,221,24.99
3931,Friends,Emma's Splash Pool,1,43,5.99
3936,Friends,Emma's Fashion Design Studio,1,79,9.99
30102,Friends,Desk,1,26,3.97
30103,Friends,Car,1,32,3.97
30112,Friends,Emma's Flower Stand,1,33,4.99
41002,Friends,Emma's Karate Class,1,93,9.99
41006,Friends,Downtown Bakery,2,253,29.99
41013,Friends,Emma's Sports Car,1,159,14.99
41015,Friends,Dolphin Cruiser,3,612,69.99
41028,Friends,Emma's Lifeguard Post,1,78,9.99
41095,Friends,Emma's House,3,706,69.99
41098,Friends,Emma's Tourist Kiosk,1,98,9.99
41115,Friends,Emma's Creative Workshop,1,108,9.99
41305,Friends,Emma's Photo Studio,1,96,9.99
41332,Friends,Emma's Art Stand,1,210,19.99
41336,Friends,Emma's Art Café,2,378,32.99
3844,Games,Creationary ,2,338,34.99
3857,Games,Draida Bay,8,101,14.99
3859,Games,Caverns of Nathuz,7,217,19.99
3860,Games,Castle Fortaan,15,304,29.99
3865,Games,City Alarm,6,247,19.99
75828,Ghostbusters,Ecto-1 & 2,6,556,59.99
4723,Harry Potter,Diagon Alley Shops,1,80,10
4728,Harry Potter,Escape from Privet Drive,3,278,30
4729,Harry Potter,Dumbledore's Office,3,446,50
4731,Harry Potter,Dobby's Release,2,70,7
4750,Harry Potter,Draco's Encounter with Buckbeak,1,36,8
10217,Harry Potter,Diagon Alley,12,2025,149.99
44015,HERO Factory,EVO Walker,4,51,9.99
44022,HERO Factory,EVO XL Machine,3,193,24.99
44025,HERO Factory,BULK Drill Machine,2,113,14.99
44026,HERO Factory,CRYSTAL Beast vs. BULK,1,83,14.99
21109,Ideas,Exo Suit,2,321,34.99
21304,Ideas,Doctor Who,6,623,59.99
7196,Indiana Jones,Chauchilla Cemetery Battle,5,187,19.99
7198,Indiana Jones,Fighter Plane Attack,3,384,49.99
7683,Indiana Jones,Fight on the Flying Wing,4,376,49.99
4601,Jack Stone,Fire Cruiser,1,21,4
4607,Jack Stone,Copter Transport,2,64,20
4609,Jack Stone,Fire Attack Team,3,90,35
4617,Jack Stone,Dual Turbo Prop,2,28,10
10666,Juniors,Digger,1,75,9.99
10667,Juniors,Construction,1,160,14.99
10671,Juniors,Fire Emergency,2,123,19.99
10686,Juniors,Family House,3,226,29.99
10727,Juniors,Emma's Ice Cream Truck,2,136,19.99
10729,Juniors,Cinderella's Carriage,2,116,24.99
10731,Juniors,Cruz Ramirez Race Simulator,1,59,9.99
10734,Juniors,Demolition Site,3,175,29.99
10748,Juniors,Emma's Pet Party,1,67,9.99
10759,Juniors,Elastigirl's Rooftop Pursuit,2,95,19.99
75916,Jurassic World,Dilophosaurus Ambush,2,248,29.99
75929,Jurassic World,Carnotaurus Gyrosphere Escape,3,577,79.99
75931,Jurassic World,Dilophosaurus Outpost Attack,3,289,39.99
30250,Legends of Chima,Ewar's Acro Fighter,1,33,3.99
70001,Legends of Chima,Crawley's Claw Ripper,2,139,14.99
70003,Legends of Chima,Eris' Eagle Interceptor,3,348,34.99
70006,Legends of Chima,Cragger's Command Ship,6,609,79.99
70007,Legends of Chima,Eglor's Twin Bike,2,223,24.99
70011,Legends of Chima,Eagles' Castle,3,369,39.99
70013,Legends of Chima,Equila's Ultra Striker,3,339,39.99
70102,Legends of Chima,CHI Waterfall,1,106,14.99
70112,Legends of Chima,Croc Chomp,1,105,14.99
70113,Legends of Chima,CHI Battles,2,92,19.99
70124,Legends of Chima,Eagle Legend Beast,1,104,9.99
70126,Legends of Chima,Crocodile Legend Beast,1,121,9.99
70135,Legends of Chima,Cragger's Fire Striker,3,380,39.99
70142,Legends of Chima,Eris' Fire Eagle Flyer,3,330,29.99
70231,Legends of Chima,Crocodile Tribe Pack,3,72,9.99
6865,Marvel Super Heroes,Captain America's Avenging Cycle,3,72,12.99
76015,Marvel Super Heroes,Doc Ock Truck Heist,3,237,19.99
76036,Marvel Super Heroes,Carnage's SHIELD Sky Attack,3,97,12.99
76050,Marvel Super Heroes,Crossbones' Hazard Heist,3,179,19.99
76060,Marvel Super Heroes,Doctor Strange's Sanctum Sanctorum,3,358,29.99
76076,Marvel Super Heroes,Captain America Jet Pursuit,3,160,19.99
76103,Marvel Super Heroes,Corvus Glaive Thresher Attack,5,416,39.99
21116,Minecraft,Crafting Box,2,518,49.99
70311,Nexo Knights,Chaos Catapult,2,93,9.99
70315,Nexo Knights,Clay's Rumble Blade,5,367,39.99
70351,Nexo Knights,Clay's Falcon Fighter Blaster,3,523,49.99
2112,Ninjago,Cole,1,19,9.99
2114,Ninjago,Chopov,1,20,9.99
2170,Ninjago,Cole DX,1,21,9.99
2509,Ninjago,Earth Dragon Defense,2,225,34.99
9444,Ninjago,Cole's Tread Assault,2,286,39.99
9445,Ninjago,Fangpyre Truck Ambush,4,452,49.99
9446,Ninjago,Destiny's Bounty,6,680,79.99
9450,Ninjago,Epic Dragon Battle,7,915,119.99
9455,Ninjago,Fangpyre Mech,2,255,24.99
9457,Ninjago,Fangpyre Wrecking Ball,3,415,49.99
9556,Ninjago,Bytar,1,25,4.99
9567,Ninjago,Fang-Suei,1,19,9.99
9571,Ninjago,Fangdam,1,20,9.99
70502,Ninjago,Cole's Earth Driller,2,171,19.99
70599,Ninjago,Cole's Dragon,2,98,9.99
70622,Ninjago,Desert Lightning,3,201,19.99
70623,Ninjago,Destiny's Shadow,3,360,29.99
70626,Ninjago,Dawn of Iron Doom,6,704,59.99
70627,Ninjago,Dragon's Forge,6,1137,79.99
70637,Ninjago,Cole - Spinjitzu Master,1,73,9.99
70726,Ninjago,Destructoid,3,253,34.99
70730,Ninjago,Chain Cycle Ambush,3,298,29.99
70732,Ninjago,City of Stiix,9,1069,99.99
70738,Ninjago,Final Flight of Destiny's Bounty,9,1253,119.99
70746,Ninjago,Condrai Copter Attack,3,311,29.99
70749,Ninjago,Enter the Serpent,5,529,59.99
70754,Ninjago,ElectroMech,2,153,14.99
70756,Ninjago,Dojo Showdown,4,215,24.99
7325,Pharaoh's Quest,Cursed Cobra Statue,3,213,29.99
6239,Pirates,Cannon Battle,2,45,5.99
6246,Pirates,Crocodile Cage,2,59,7.25
6250,Pirates,Cross Bone Clipper,3,154,33
6266,Pirates,Cannon Cove,3,106,17.5
6278,Pirates,Enchanted Island,7,428,66
6292,Pirates,Enchanted Island,7,419,70
4191,Pirates of the Caribbean,Captain's Cabin,3,95,11.99
8188,Power Miners,Fire Blaster,2,67,9.99
8190,Power Miners,Claw Catcher,2,259,34.99
8708,Power Miners,Cave Crusher,3,259,49.99
8959,Power Miners,Claw Digger,2,197,19.99
